Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
3/1/2004,"314,412","184,938","39,004",0,"32,433","78,982","18,530","18,567","15,952","129,474","6,724","120,195","36,819",228,"41,510","41,638","2,555","518,848","515,151","314,606","200,545",272,"195,113","74,627","61,214","5,160","3,697",791,"2,906",137,"2,553",417,216,"833,260","580,366","515,151","314,606","200,545","3,697",791,"2,906","61,518","60,452","1,066"
4/1/2004,"317,766","187,594","39,442",0,"33,139","80,496","19,027","18,590","15,927","130,172","6,974","120,625","36,753",228,"41,589","42,055","2,573","523,978","520,265","316,898","203,367",289,"197,874","76,842","62,548","5,204","3,713",787,"2,926",145,"2,564",423,217,"841,744","586,504","520,265","316,898","203,367","3,713",787,"2,926","62,526","61,469","1,057"
5/1/2004,"322,072","190,737","39,640",0,"33,724","82,616","19,673","18,821","15,936","131,335","7,231","121,511","37,108",246,"41,670","42,487","2,593","529,850","526,107","321,444","204,663",307,"199,106","76,962","63,925","5,250","3,743",797,"2,946",154,"2,574",431,218,"851,922","593,877","526,107","321,444","204,663","3,743",797,"2,946","64,027","62,944","1,083"
6/1/2004,"326,832","194,613","40,422",0,"34,771","84,697","20,316","18,726","15,997","132,219","7,481","122,127","37,230",244,"41,749","42,904","2,611","536,647","532,866","324,182","208,684",325,"203,065","79,458","65,259","5,294","3,781",806,"2,975",163,"2,593",439,219,"863,479","602,135","532,866","324,182","208,684","3,781",806,"2,975","65,488","64,381","1,107"
7/1/2004,"329,514","197,063","40,511",0,"35,315","86,715","20,771","18,558","15,964","132,451","7,669","122,155","37,439",252,"41,394","43,070","2,627","543,043","539,218","326,834","212,384",326,"206,777","82,092","66,765","5,281","3,825",827,"2,998",164,"2,615",443,219,"872,557","610,105","539,218","326,834","212,384","3,825",827,"2,998","67,062","65,945","1,117"
8/1/2004,"332,622","199,670","40,743",0,"35,853","88,709","21,218","18,428","15,937","132,952","7,856","122,454","37,923",254,"41,040","43,237","2,642","548,282","544,429","330,786","213,643",327,"208,048","82,325","68,270","5,268","3,853",842,"3,011",164,"2,629",446,218,"880,904","616,898","544,429","330,786","213,643","3,853",842,"3,011","68,616","67,491","1,125"
9/1/2004,"335,375","202,069","40,530",0,"36,568","90,890","21,709","18,195","15,886","133,306","8,038","122,611","38,256",261,"40,696","43,398","2,657","552,101","548,236","331,476","216,760",328,"211,177","84,470","69,727","5,255","3,865",835,"3,030",165,"2,647",449,218,"887,476","622,428","548,236","331,476","216,760","3,865",835,"3,030","70,327","69,182","1,145"
10/1/2004,"337,639","203,698","40,797",0,"36,145","92,818","22,182","18,130","15,808","133,941","8,252","123,016","38,374",269,"41,286","43,087","2,673","557,334","553,459","333,299","220,160",330,"214,562","86,714","71,224","5,268","3,875",835,"3,040",166,"2,656",450,218,"894,973","629,139","553,459","333,299","220,160","3,875",835,"3,040","71,805","70,636","1,169"
11/1/2004,"341,574","206,991","42,874",0,"35,621","94,465","22,588","18,177","15,854","134,583","8,458","123,436","38,492",298,"41,859","42,787","2,689","562,340","558,451","337,259","221,192",332,"215,580","86,697","72,673","5,280","3,889",832,"3,057",167,"2,671",453,219,"903,914","635,393","558,451","337,259","221,192","3,889",832,"3,057","73,053","71,877","1,176"
12/1/2004,"346,024","210,996","43,149",0,"37,455","96,154","23,006","18,292","15,946","135,028","8,672","123,651","38,426",299,"42,450","42,476","2,705","565,019","561,133","336,483","224,650",333,"219,024","89,837","74,170","5,293","3,886",823,"3,063",167,"2,677",456,219,"911,043","639,352","561,133","336,483","224,650","3,886",823,"3,063","74,333","73,148","1,185"
